value,weight
0.8598063717510909,0.31321877488420247
0.5232284802221414,0.5043844448059025
0.07502034646452471,0.9167177417612493
0.24765691480182883,0.496040788568759
0.3069261755370377,0.014950830733550857
0.7012407127000708,0.49716475921166214
0.4082691961370224,0.41558778190052015
0.5410176197448313,0.7256309649663585
0.8904087332557943,0.4211278852640531
0.7076492057238604,0.8898468385145316
0.9549508573338626,0.4829466037768325
0.019140479368410124,0.7005312604934717
0.33984315023520617,0.3302314159825801
0.8779456450245388,0.4618199275087246
0.8492836171169781,0.7824367390466807
0.9191467034487089,0.2070559244543252
0.5695717875062818,0.31124292616887916
0.5466026962801895,0.7461042075979943
0.7012291124925172,0.6679623469697449
0.2641064937678651,0.8947714626594994
0.597164174115264,0.21895681924759136
0.11001213346745808,0.02445369838435385
0.780661587488668,0.39207021145916265
0.11413630957510434,0.8066411994711173
0.8063552442498342,0.30873204336908
0.9259540667931868,0.4796434110216927
0.6222420535672916,0.24677845893289296
0.6661692408543953,0.03350146548870869
0.45509746106463567,0.6858227529645811
0.42431865346393705,0.08054740994394971
0.7041855772588357,0.5697515820047457
0.9239424323029026,0.04784871621418363
0.9498712684329097,0.9686298515143122
0.9519166109190444,0.8695864304364307
0.5127604729282952,0.2376544804022911
0.3205952178749053,0.6297971102777711
0.4853331959119347,0.46013221039846475
0.8914349047752286,0.38820252998083093
0.6130941165865249,0.7150190746134645
0.6864204258622658,0.4409098726564392
0.22709900822206652,0.5964239141137149
0.9636254728219169,0.9059837118924959
0.8961996246404107,0.7108238586078992
0.7992078114400312,0.8068029917048571
0.36817551946399607,0.6063262289269904
0.4030130983445147,0.03860913118182008
0.6788971038451017,0.8805512476861626
0.9681456127177569,0.6803826211890597
0.20622277780003373,0.35325033494042857
0.44664561814563875,0.7750363276043295
