value,weight
0.7633049971436747,0.6385297597933621
0.017276776155487394,0.9764026668089643
0.9382840536385929,0.028798829821819694
0.3213481284886076,0.817329188490591
0.5284344174351518,0.06590799709250561
0.8997149631785902,0.08614430735561551
0.998143166504727,0.008222967758922062
0.9368342363252253,0.391392390567874
0.8515281388080147,0.5574626354276111
0.010119461042461309,0.7942217930955379
0.6023496644664934,0.22387587765817896
0.9343320653317029,0.11678686572662877
0.8766877974852294,0.21277506152890224
0.3195972864547061,0.7085597890719185
0.23835286571122627,0.17113948001194568
0.7618123396031065,0.6810499426368849
0.9377113739335494,0.7948280913964516
0.663184598682773,0.25316341018345945
0.7717199849985513,0.7558826159054237
0.3068691630966419,0.595034980001744
0.805056655678209,0.3941340435838828
0.5952808370556929,0.7777132026578955
0.6700724121745387,0.4080563568360074
0.27459055025285395,0.3635081531522455
0.8482681444137723,0.5573597058834593
