classifier,population_size,workers,time,time_std
RandomForestClassifier,1000,1,21.41681178759318,0.27786297711771124
RandomForestClassifier,1000,2,10.992114324774594,0.07298436500258236
RandomForestClassifier,1000,4,5.68525603779126,0.046588745287911376
RandomForestClassifier,1000,8,3.291673491615802,0.10158946877654874
RandomForestClassifier,1000,16,1.9077544372994453,0.14764806403286115
RandomForestClassifier,1000,32,1.5771286847069859,0.11374771223805588
RandomForestClassifier,2000,1,43.1427627641242,0.5236702738546682
RandomForestClassifier,2000,2,22.01083913751645,0.26900648669465005
RandomForestClassifier,2000,4,11.110461977194063,0.0628676562267246
RandomForestClassifier,2000,8,5.924899011000525,0.06897647237460115
RandomForestClassifier,2000,16,3.608031937398482,0.18132805733856489
RandomForestClassifier,2000,32,2.156524191610515,0.1881782674526565
RandomForestClassifier,4000,1,84.80176006281981,0.723745616790019
RandomForestClassifier,4000,2,42.58093171429355,0.2670215130561238
RandomForestClassifier,4000,4,21.85125028208131,0.15411142077280926
RandomForestClassifier,4000,8,11.57801551950397,0.09039293760682765
RandomForestClassifier,4000,16,6.557912529772148,0.09837690531785932
RandomForestClassifier,4000,32,3.8163802773109636,0.11367044712243206
RandomForestClassifier,8000,1,168.37633569862228,0.542948187956087
RandomForestClassifier,8000,2,87.34973241797415,0.7832463884913835
RandomForestClassifier,8000,4,44.1327882571728,0.1520338775690985
RandomForestClassifier,8000,8,22.47570818788372,0.09295470646548092
RandomForestClassifier,8000,16,12.126151105412282,0.11784897661223027
RandomForestClassifier,8000,32,7.089022651698906,0.24438720291763286
RandomForestClassifier,16000,1,338.8654900867958,1.442790222111083
RandomForestClassifier,16000,2,172.32235014162725,0.5485748544397967
RandomForestClassifier,16000,4,87.33457502368837,0.19805016321117977
RandomForestClassifier,16000,8,44.9220474560163,0.18854202884451007
RandomForestClassifier,16000,16,23.81323250788264,0.13888155778711894
RandomForestClassifier,16000,32,14.101559742423706,0.19341518038038466
SVC,1000,1,0.7807372065959498,0.010960217774714884
SVC,1000,2,0.5190260811010375,0.029637655224862385
SVC,1000,4,0.3301853143842891,0.040173234495671076
SVC,1000,8,0.27576291592558844,0.024371406610718523
SVC,1000,16,0.20679491258924826,0.034967401968342166
SVC,1000,32,0.41031229639193045,0.21394080451274602
SVC,2000,1,1.5609030193882063,0.021353071719247593
SVC,2000,2,0.9770137217012234,0.03161391436553493
SVC,2000,4,0.6352874474949204,0.03934463005304756
SVC,2000,8,0.45831890775589273,0.04095446576738787
SVC,2000,16,0.37384781769942493,0.025493785294290444
SVC,2000,32,0.3519794009043835,0.04873557141327168
SVC,4000,1,3.124109049816616,0.011892658877178924
SVC,4000,2,1.8549254932207986,0.037602298835761494
SVC,4000,4,1.136385715706274,0.03490564809927026
SVC,4000,8,0.8469387566088699,0.036660143743181293
SVC,4000,16,0.5557260123896413,0.04374883036130337
SVC,4000,32,0.5727411432308145,0.044225237741880565
SVC,8000,1,6.197993205720559,0.034283899958286145
SVC,8000,2,3.6174507477786393,0.034547705479400816
SVC,8000,4,2.1836750827729703,0.027530819284103496
SVC,8000,8,1.6290759518975393,0.06456031866714752
SVC,8000,16,1.1523456778959371,0.05008124095864485
SVC,8000,32,1.0896573484991676,0.09667015478298926
SVC,16000,1,12.432200731616467,0.14314549555601463
SVC,16000,2,7.351207320496906,0.06130674201889667
SVC,16000,4,4.293496390932705,0.05572716170206607
SVC,16000,8,3.429254579707049,0.09033310799906134
SVC,16000,16,2.1913554459926674,0.0893410699696719
SVC,16000,32,1.7548662481131032,0.08291350300418823
MLPClassifier,1000,1,0.6548314313986339,0.010120401074138646
MLPClassifier,1000,2,0.44667481309734286,0.027222444080873518
MLPClassifier,1000,4,0.2902631361153908,0.020983816803979087
MLPClassifier,1000,8,0.2581050136592239,0.04214538086509974
MLPClassifier,1000,16,0.4368121088948101,0.12912749019128583
MLPClassifier,1000,32,0.5315783704863861,0.04257287724193551
MLPClassifier,2000,1,1.3069604639080352,0.011307606325398269
MLPClassifier,2000,2,0.8412031677900813,0.041410127843063166
MLPClassifier,2000,4,0.5515821200213396,0.037950968170518226
MLPClassifier,2000,8,0.4016733468743041,0.05488442329617643
MLPClassifier,2000,16,0.5072982735931874,0.08710996031562226
MLPClassifier,2000,32,0.7230348628945649,0.044941080577751875
MLPClassifier,4000,1,2.5927744512911888,0.022530712068835224
MLPClassifier,4000,2,1.650799392175395,0.058955674722530924
MLPClassifier,4000,4,1.045803903893102,0.06380216310336365
MLPClassifier,4000,8,0.7359784000669606,0.06289657189266314
MLPClassifier,4000,16,0.6991204892052337,0.07093340115586971
MLPClassifier,4000,32,0.9772586259874515,0.06047750986376361
MLPClassifier,8000,1,5.233719683112577,0.02366511940781258
MLPClassifier,8000,2,3.188770155108068,0.03539153274418699
MLPClassifier,8000,4,1.9468101220089011,0.03579245519110434
MLPClassifier,8000,8,1.427931308594998,0.06527881680113157
MLPClassifier,8000,16,1.0699150466942229,0.04363737052857133
MLPClassifier,8000,32,1.5188784323167055,0.07828233363681568
MLPClassifier,16000,1,10.474930564919486,0.054922352230426186
MLPClassifier,16000,2,6.411652506294194,0.055941564124603056
MLPClassifier,16000,4,3.8674688395112753,0.03495362503163654
MLPClassifier,16000,8,3.064032269793097,0.1030004627903734
MLPClassifier,16000,16,2.066656423697714,0.21674879125363283
MLPClassifier,16000,32,2.4633917680941524,0.09913448191669773
