feature_1,feature_2,feature_3,feature_4,outcome
-0.39997535021220265,-0.5552258764363334,-0.35661118885351684,-0.8963467935471601,1
0.24431995011534724,0.2762459894329785,-0.43430761650164995,-0.1958961235612069,0
-1.3496514163951825,-1.7646372657862615,1.5945951490266697,1.103963007573678,0
0.23843555083387846,-2.616554699354434,-1.4320167049561403,-1.9226685533648782,1
-1.1814132742461372,-2.0397090342483297,1.5693794974544621,0.6561302528528651,0
0.27354430742759983,-2.4665896990364695,-2.4013461842290305,-0.35586166650754625,1
-1.292613325716752,-0.25321307970864826,-0.9386127828489261,-2.6751845634214053,1
-2.408159102990095,0.9572068759080763,0.18750788330519796,-0.08662598953592249,1
-0.04078734307041176,-1.5979276132331246,-1.322372066205926,-3.0683992935926767,1
-1.6255183011885923,-2.8076151314153144,-2.1513996418240757,0.23164495841295563,1
0.1766031446533569,0.3136271745304404,0.6052069789511441,0.8834949482952884,0
-2.3107368819231704,-3.412557802773152,2.727146531340747,1.360022141849203,0
-0.8659614918379518,-1.0640429010529127,1.8539870524973703,1.5924457464412725,0
-0.3944699177832732,-0.7853208007115575,-1.065395223184054,2.1105200403357243,1
-1.5690396489334497,-0.5286639341246016,-0.5541786988629652,-2.189132038734086,1
-1.2295810119014783,-1.6318205605166098,-1.2910671075316493,-3.1868187054080885,1
-1.8728312417309616,0.28934125398311594,0.6001548074714491,2.0434367360836267,1
-1.9335538687968523,-1.5897807107309463,1.1708257466801804,2.118661181986724,0
-1.0262167863090548,-0.8791449519378741,1.0944314698126167,1.131945682309896,0
-1.2210059691976527,-0.5840357930453153,0.4846731945023748,1.4855095832941223,0
0.7533860888414592,-3.039937988877793,-3.2905178922233937,-0.5799094482410323,1
-0.6465400027325775,0.2556101997401057,0.03131894703641058,0.8349375237049006,0
-2.1133738793732593,-2.902100617505388,3.172379548666711,2.7366723796838333,0
-0.29995944990688983,-0.6515718545812147,-0.41124917056346366,-2.3263803633300815,1
-0.8168542830764454,-0.31151736326615775,0.9772089983592936,0.9364458076448355,0
-2.020656434035725,-3.226747866870866,-2.6045990426764822,-1.521135862709806,1
-1.2377161381325013,-1.4011081106612342,0.5518518120624472,1.1713660322673767,0
0.4807865405078178,-0.6511557490092474,2.031451062058571,-0.7044135380697101,0
-0.06154275896871442,-0.08927339537671841,-0.044477240055909806,-0.6636831382421959,1
-0.28705782886584696,-0.9024820687566248,1.1545687571364498,0.09796951910711571,0
-0.8850741166262337,-0.6952661715597868,0.17983303765796121,0.9125843379386667,0
-2.230649122733944,-0.22962918965994894,-0.16575152380140423,1.1369975716370773,1
-1.4188768834334864,-1.5323722287718118,2.607551273098565,2.0600152330016197,0
0.5022360758458237,1.7491900543066792,-1.4501878652554683,-0.14910646905470348,0
-0.0952417878305718,0.19833446690383472,-0.4459008316418933,0.2577164010374885,0
-1.5390177893079828,-0.8603094244456034,1.025876726475498,2.206382482829217,0
-0.5651403571242058,-0.07004938642274294,-0.973666503892981,1.112976326694493,1
-1.2294638719820217,-0.2650124075355389,0.026026576268734614,-2.0316999551787127,1
-3.0798689646063777,-1.20344508382951,-1.2988446418063577,-2.645038688398582,1
-1.7318635482535323,-2.163435406218059,1.8390029103233014,0.9972394429056749,0
-1.1855113343972719,-1.6211728766397853,1.8176850890008422,0.27164975842003003,0
0.9050568520522113,-0.2862384825555284,0.06984918284680774,0.22088571772772525,1
-0.492562886116641,-1.3694591843761277,1.4171504962852035,0.036529905058238055,0
-1.3940513819677078,-2.118874286079514,-2.3661479876394553,-0.4102453879420026,1
-0.458037281279595,-0.031234565999956776,0.31656877807327555,0.7043173118224206,0
0.20614612438074187,-0.1383771901473113,0.03094502517262343,-0.669046268035018,0
-2.036650461666399,-0.3669227175679035,-0.32455104620681685,-0.37094139054826214,1
-0.8212700800307073,-1.4024866733442214,0.6300213539257653,0.5636427873507729,0
-0.4009297415565436,-0.36553652956504534,0.511770281872785,-0.14880365552353392,0
