classifier,population_size,workers,time,time_std,ptime,ptime_std
MLPClassifier,1000,1,0.8933359128888696,0.020033409700004133,0.6146347742993384,0.0042751415896780595
MLPClassifier,2000,1,2.190915504703298,0.03821920112334895,1.2407936019357293,0.014486027255072427
MLPClassifier,4000,1,5.9872893238905815,0.04092951712396644,2.4596483360044656,0.009109548201737021
MLPClassifier,8000,1,18.3158364193514,0.20637614027109139,4.9167448203545066,0.03852346148406595
MLPClassifier,16000,1,62.37177236750722,0.3277111000796166,9.896836881618947,0.04286289782701057
MLPClassifier,1000,2,0.9423937684856355,0.045020002894270425,0.6491457949858159,0.03986831196040398
MLPClassifier,2000,2,2.161393640842289,0.026653375325735678,1.2402407856658102,0.026308393144215576
MLPClassifier,4000,2,5.904351788479834,0.07786970268518635,2.453159685852006,0.041553845564373096
MLPClassifier,8000,2,17.828649386251346,0.15426670943266266,4.766004897747189,0.05350367182961562
MLPClassifier,16000,2,61.16809992874041,0.669686561809755,9.836334409983829,0.09037018796294556
MLPClassifier,1000,4,0.8119136063847691,0.03361440774700189,0.5254654784686863,0.031192416296625503
MLPClassifier,2000,4,1.8739492441527545,0.045022603606882566,0.9503892298322171,0.04255612320393143
MLPClassifier,4000,4,5.3155019644182175,0.07432362233849739,1.851270263735205,0.05637937265098002
MLPClassifier,8000,4,16.887844793917612,0.1885508322178732,3.7193387949839236,0.13577087899130075
MLPClassifier,16000,4,58.74932626164518,0.2979596625450074,7.480119175557047,0.08716482244127179
MLPClassifier,1000,8,0.759260821249336,0.030197074966265024,0.475980612449348,0.030932665128904097
MLPClassifier,2000,8,1.7509377523325385,0.03456105275249089,0.8078129060566426,0.045459593452071664
MLPClassifier,4000,8,4.916082416754216,0.06557572070815369,1.4195564353838563,0.04918316872278187
MLPClassifier,8000,8,16.11494346591644,0.17473690899996697,2.8848670121748,0.08014777803934035
MLPClassifier,16000,8,58.574103955738245,1.844260785051666,6.164996236469596,0.3530111672192624
MLPClassifier,1000,16,0.7470972117502243,0.050183017469713896,0.44650031593628225,0.028342536101957035
MLPClassifier,2000,16,1.74016530723311,0.03946770274372029,0.7879685604013502,0.034887338465557416
MLPClassifier,4000,16,4.90414415281266,0.0972324251240873,1.4059508526697755,0.0869633530663952
MLPClassifier,8000,16,16.57525091757998,0.7217440691968515,3.0842513707932087,0.3611304352037298
MLPClassifier,16000,16,60.070712405163796,5.267849310681857,5.818521163519472,0.5099546694118602
MLPClassifier,1000,32,0.8178341146092862,0.04895983054899755,0.5140393471345306,0.03811418461126902
MLPClassifier,2000,32,1.8075953642837703,0.05126978716662582,0.8357304336968809,0.04107427541111239
MLPClassifier,4000,32,4.971742375614122,0.07438732555486813,1.50903731752187,0.07438156018637072
MLPClassifier,8000,32,17.18478099638596,1.4449575716966332,3.2360379754099995,0.3232678955638836
MLPClassifier,16000,32,58.02953494940884,2.2142813338297036,5.599436937598512,0.6011398319340867
